City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Simao,22.7886,100.9748,7.67,97,20,1.5,CN,1674929225
82,Strezhevoy,60.7333,77.5889,-17.3,100,96,2.77,RU,1674929226
83,Bukachacha,52.9833,116.9167,-25.42,99,64,1.62,RU,1674929226
84,Goderich,43.7501,-81.7165,-1.16,72,100,6.27,CA,1674929227
85,Ilulissat,69.2167,-51.1,-7.99,73,75,6.69,GL,1674929227
86,Carutapera,-1.195,-46.02,28.62,65,91,2.89,BR,1674929227
87,Vitim,59.4511,112.5578,-15.22,97,100,1.22,RU,1674929228
88,Taksimo,56.3444,114.8794,-19.16,94,100,0.82,RU,1674929228
89,Merrill,45.1805,-89.6835,-10.23,72,40,0.0,US,1674929228
90,Jamestown,42.097,-79.2353,1.8,60,0,5.66,US,1674929229
91,Pajapita,14.7167,-92.0333,33.82,36,69,3.06,GT,1674929229
92,Vaini,-21.2,-175.2,25.09,94,40,1.54,TO,1674929229
93,Airai,-8.9266,125.4092,16.16,93,94,0.65,TL,1674929230
94,Kaseda-shirakame,31.4167,130.3167,3.24,93,91,2.88,JP,1674929230
95,Ust-Nera,64.5667,143.2,-36.81,98,87,1.44,RU,1674929231
96,Hobart,-42.8794,147.3294,16.14,82,100,1.03,AU,1674929031
97,Orbetello,42.4408,11.2196,5.65,79,75,3.69,IT,1674929231
98,Keetmanshoop,-26.5833,18.1333,30.12,20,28,11.19,NA,1674929232
99,Lagoa,39.05,-27.9833,14.18,79,75,7.32,PT,1674929232
100,Laas,46.6166,10.7002,0.01,90,65,1.76,IT,1674929232
101,Oistins,13.0667,-59.5333,25.74,61,66,6.64,BB,1674928943
102,Cape Town,-33.9258,18.4232,18.4,53,20,11.32,ZA,1674928980
103,Whitefish,48.4111,-114.3376,-7.78,52,0,8.23,US,1674929233
104,Fort Nelson,58.8053,-122.7002,-21.14,84,57,1.79,CA,1674929234
105,Labuan,5.2767,115.2417,25.31,87,98,5.92,MY,1674929234
106,Östersund,63.1792,14.6357,-0.22,86,20,11.32,SE,1674929235
107,Vikhorevka,56.1201,101.1636,-9.23,96,100,1.55,RU,1674929235
108,Souillac,-20.5167,57.5167,26.41,87,83,2.41,MU,1674929235
109,Cidreira,-30.1811,-50.2056,27.63,70,49,5.15,BR,1674929236
110,Oyama,36.3,139.8,3.1,47,22,2.5,JP,1674929236
111,Yellowknife,62.456,-114.3525,-25.25,68,45,5.36,CA,1674929236
112,Fukuechō,32.6881,128.8419,7.01,63,100,10.46,JP,1674929237
113,Tashla,51.7716,52.7427,-19.19,100,66,0.87,RU,1674929237
114,Hīt,33.6416,42.8251,14.37,46,97,5.43,IQ,1674929238
115,Sterling,39.0062,-77.4286,12.79,44,75,5.36,US,1674929117
116,Khatanga,71.9667,102.5,-32.22,90,26,3.93,RU,1674929238
117,Husavik,66.0449,-17.3389,2.12,88,89,2.77,IS,1674929238
118,Aquiraz,-3.9014,-38.3911,31.05,65,33,5.19,BR,1674929039
119,Zemio,5.0314,25.1361,28.55,21,48,1.06,CF,1674929239
120,Tevaitoa,-16.7833,-151.5,27.43,71,11,7.29,PF,1674929239
121,Loudéac,48.1783,-2.7543,4.85,77,43,3.67,FR,1674929240
122,Egvekinot,66.3167,-179.1667,-11.66,98,100,0.97,RU,1674929240
123,Nanortalik,60.1432,-45.2371,-4.85,75,100,16.87,GL,1674929240
124,Klaksvík,62.2266,-6.589,6.51,83,100,13.14,FO,1674929241
125,Adet,11.2644,37.4888,17.55,26,26,4.04,ET,1674929241
126,Weinan,34.5036,109.5089,0.3,19,18,2.14,CN,1674929242
127,Katsuura,35.1333,140.3,3.67,52,35,2.4,JP,1674929242
128,Morón,-34.6534,-58.6198,33.34,63,0,1.71,AR,1674929243
129,Dalby,-27.1833,151.2667,21.46,80,1,2.11,AU,1674929243
130,Thompson,55.7435,-97.8558,-24.11,86,92,4.68,CA,1674929183
131,Stephenville,32.2207,-98.2023,17.3,65,75,7.72,US,1674929244
132,Luanda,-8.8368,13.2343,28.0,74,75,3.09,AO,1674929244
133,Tuktoyaktuk,69.4541,-133.0374,-25.84,95,24,4.54,CA,1674929244
134,Rio Grande,-32.035,-52.0986,27.6,69,79,5.48,BR,1674929138
135,Murgab,37.4966,61.9714,1.7,68,86,3.82,TM,1674929245
136,Saint-Louis,16.3333,-15.0,28.88,6,51,6.2,SN,1674929245
137,Mazagão,-0.115,-51.2894,28.9,64,93,2.5,BR,1674929245
138,Hong Kong,22.2855,114.1577,12.4,30,22,8.05,HK,1674929106
139,Suntar,62.1444,117.6319,-37.46,98,96,2.3,RU,1674929246
140,Palana,59.1167,159.9667,-17.18,90,57,2.9,RU,1674929246
141,Fairmont,39.4851,-80.1426,11.34,55,93,1.34,US,1674929247
142,Cascais,38.6979,-9.4215,12.74,48,0,10.73,PT,1674929247
143,Ulladulla,-35.35,150.4667,21.24,96,83,2.2,AU,1674929247
144,Vao,-22.6667,167.4833,24.99,65,100,3.1,NC,1674929179
145,Borogontsy,62.6683,131.1683,-49.01,100,66,1.57,RU,1674929248
146,Atambua,-9.1061,124.8925,23.41,88,92,0.33,ID,1674929248
147,San Bernardo,-33.6,-70.7167,33.37,19,0,3.36,CL,1674929249
148,Sandūr,15.1,76.55,20.68,45,54,3.63,IN,1674929249
149,Arraial do Cabo,-22.9661,-42.0278,30.92,70,40,4.63,BR,1674929249
150,Vanavara,60.34,102.2797,-15.39,97,99,2.23,RU,1674929250
151,Vila Velha,-20.3297,-40.2925,29.97,77,40,7.2,BR,1674929250
152,Broome,42.2506,-75.833,5.75,50,0,7.2,US,1674929251
153,San Patricio,28.017,-97.5169,20.97,80,99,6.61,US,1674929251
154,Saint George,37.1041,-113.5841,6.91,57,0,0.89,US,1674929072
155,Geraldton,-28.7667,114.6,21.23,78,0,7.2,AU,1674929251
156,San Luis,-33.295,-66.3356,31.6,34,12,1.7,AR,1674929252
157,Dandong,40.1292,124.3947,-12.7,86,6,1.55,CN,1674929252
158,Bitung,1.4451,125.1824,23.47,84,69,2.31,ID,1674929252
